"과정코드 PNU-2026-001 PNU-2026-002 PNU-2026-003 PNU-2026-004 PNU-2026-005 PNU-2026-006 PNU-2026-101 PNU-2026-102 PNU-2026-103 PNU-2026-201 PNU-2026-202 PNU-2026-203 PNU-2026-301","과정명 직장 내 성희롱·성폭력 예방 교육 개인정보보호 교육 직장 내 장애인 인식개선 교육 산업안전보건 교육(정기) 부패방지·청렴 교육 직장 내 괴롭힘 예방 교육 공문서·보고서 작성 실무 논리적 기획력·문제해결 실무 커뮤니케이션·협업 대학회계 실무 예산편성·집행 실무 계약·조달 실무(나라장터) 인사·복무 실무","분야 법정의무교육 법정의무교육 법정의무교육 법정의무교육 법정의무교육 법정의무교육 직무공통·문서 직무공통·문서 직무공통·문서 예산·회계·계약 예산·회계·계약 예산·회계·계약 인사·노무","대상 전 직원 전 직원 전 직원 전 직원 전 직원 전 직원 실무자 실무자 전 직원 실무자 실무자 실무자 실무자","이수구분 필수 필수 필수 필수 필수 필수 권장 선택 선택 권장 선택 선택 권장","교육방식 온라인 온라인 온라인 혼합 온라인 온라인 집합 집합 온라인 집합 집합 집합 집합","교육시간 1시간 1시간 1시간 6시간 2시간 1시간 8시간 8시간 4시간 12시간 8시간 8시간 8시간","정원 무제한 무제한 무제한 무제한 무제한 무제한 40명 30명 무제한 30명 30명 30명 30명","교육기간 상시(2026-01-02~12-31) 상시(2026-01-02~12-31) 상시(2026-01-02~12-31) 반기별(상·하반기) 상시(2026-01-02~12-31) 상시(2026-01-02~12-31) 2026-03-16~03-17 2026-04-20~04-21 상시(2026) 2026-03-23~03-25 2026-05-18~05-19 2026-06-15~06-16 2026-03-30~03-31","신청기간 상시 상시 상시 상시 상시 상시 2026-03-02~03-11 2026-04-06~04-15 상시 2026-03-09~03-18 2026-05-04~05-13 2026-06-01~06-10 2026-03-16~03-25","담당부서 인재개발원 정보화본부 인재개발원 안전관리실 감사실 인재개발원 인재개발원 인재개발원 인재개발원 재무과 재무과 재무과 총무과","한줄소개 모든 구성원이 연 1회 반드시 이수하는 성희롱·성폭력 예방 법정교육 개인정보 취급자가 지켜야 할 원칙과 유출 대응을 다루는 법정 필수 교육 장애에 대한 편견을 줄이고 함께 일하는 문화를 만드는 법정교육 「산업안전보건법」에 따른 사무·현장 근로자 정기 안전보건교육 공직자 행동강령과 이해충돌방지를 다루는 청렴 법정교육 건강한 조직문화를 위한 직장 내 괴롭힘 예방 법정교육 결재가 빨라지는 행정 문서작성의 기본기와 보고서 쓰기 업무 과제를 구조화해 대안을 도출하는 기획·문제해결 훈련 부서 간 협업과 갈등 없는 소통을 위한 실무 커뮤니케이션 국립대학 회계기준과 대학회계시스템 지출 실무를 단계별로 부서 예산 편성부터 집행·전용까지 예산 사이클 실무 물품·용역 계약 절차와 나라장터 전자조달 실무 교직원 임용·복무·인사기록 처리의 기본 실무","상세소개 「양성평등기본법」·「남녀고용평등법」에 따라 모든 교직원이 연 1회 반드시 이수해야 하는 법정의무교육입니다. 성희롱·성폭력의 개념과 사례, 예방 수칙과 대응 절차, 사건 발생 시 신고·처리 체계를 학습합니다. 온라인으로 상시 수강 가능하며 미이수자는 개별 안내됩니다. 「개인정보보호법」에 따라 개인정보를 취급하는 모든 교직원이 연 1회 이수하는 법정의무교육입니다. 개인정보의 수집·이용·파기 원칙과 안전한 관리 방법, 유출 사고 발생 시 신고·대응 절차를 익힙니다. 「장애인고용촉진 및 직업재활법」에 따라 모든 사업장이 연 1회 실시하는 법정의무교육입니다. 장애 유형에 대한 이해, 직장 내 정당한 편의제공, 차별 예방과 협업 방법을 다룹니다. 「산업안전보건법」에 따라 근로자가 정기적으로 이수하는 안전보건 법정교육입니다. 사무실·연구실 등 근무 환경별 위험요인과 예방수칙, 사고 발생 시 대응 요령을 학습합니다. 반기별로 나누어 이수합니다. 「부패방지 및 국민권익위원회법」과 공무원 행동강령에 따라 전 구성원이 이수하는 청렴 법정교육입니다. 이해충돌방지법, 청탁금지법(김영란법), 부정청탁 대응 사례를 통해 청렴한 업무 처리 기준을 익힙니다. 「근로기준법」에 따라 실시하는 직장 내 괴롭힘 예방 법정교육입니다. 괴롭힘의 판단 기준과 유형, 예방을 위한 행동과 조직 문화, 발생 시 신고·처리 절차를 학습합니다. 행정업무운영편람 기준의 공문서 작성 원칙과 실전 보고서·기안문 작성법을 다룹니다. 표현·구조·요약 기법을 실습과 첨삭으로 익혀 명확하고 설득력 있는 문서를 만듭니다. 현업 과제를 논리적으로 정의하고 원인을 분석해 실행 가능한 대안을 도출하는 방법을 학습합니다. 로직트리·이슈분석 등 프레임워크를 실제 부서 사례에 적용해봅니다. 업무 상황에서의 명확한 의사전달, 요청·거절·피드백 방법과 부서 간 협업 스킬을 온라인으로 학습합니다. 이메일·메신저·회의 등 채널별 소통 요령을 다룹니다. 국립대학회계 기준과 대학회계시스템(예산·지출·결산) 실무를 단계별로 학습합니다. 지출 증빙, 예산 전용, 결산 준비까지 실제 사례로 익혀 회계 오류를 줄입니다. 부서 단위 예산 편성 원칙과 집행·전용·이월 처리 실무를 다룹니다. 예산 집행률 관리와 연말 결산 대비까지 실제 데이터로 연습합니다. 국가계약법 기준의 물품·용역·공사 계약 절차와 나라장터(G2B) 전자조달 실무를 학습합니다. 수의계약·경쟁입찰 기준, 계약서 작성과 검수·대가 지급까지 다룹니다. 교직원 임용·승진·복무(휴가·출장·겸직) 규정과 인사기록 처리 실무를 학습합니다. 규정 해석과 시스템 처리 사례를 통해 인사 업무의 정확도를 높입니다.","학습목표 성희롱·성폭력 개념과 유형 이해 · 예방 수칙과 행동요령 습득 · 신고·처리 절차 숙지 개인정보보호 원칙 이해 · 안전조치 실천 · 유출 대응 절차 숙지 장애 유형과 특성 이해 · 편견·차별 요소 점검 · 정당한 편의제공 실천 근무환경 위험요인 인지 · 안전수칙 실천 · 비상시 대응요령 습득 행동강령·청탁금지법 이해 · 이해충돌 상황 판단 · 청렴 업무기준 적용 괴롭힘 판단기준 이해 · 예방 행동 실천 · 신고·처리 절차 숙지 공문서 규정 이해 · 논리적 보고서 구조화 · 간결한 문장 작성 문제 정의·구조화 · 원인 분석 · 대안 도출과 우선순위 결정 명확한 의사전달 · 상황별 소통 스킬 · 협업 태도 형성 국립대학회계 기준 이해 · 지출 증빙 처리 · 결산 준비 예산 편성 원칙 이해 · 집행·전용 처리 · 집행률 관리 계약 방법 판단 · 나라장터 처리 · 계약·검수 문서 작성 인사·복무 규정 이해 · 인사기록 처리 · 규정 적용 판단","주요내용 관련 법령과 정의 · 유형별 사례 분석 · 예방 수칙 · 신고 및 피해자 지원 체계 개인정보보호법 개요 · 처리 단계별 준수사항 · 안전성 확보조치 · 유출 신고 절차 장애 인식과 오해 · 유형별 이해 · 직장 내 편의제공 · 협업 사례 산업안전보건 개요 · 근무환경별 위험요인 · 안전수칙 · 응급대응·대피 청렴·반부패 개요 · 청탁금지법 · 이해충돌방지법 · 사례 토의 관련 법령 · 판단 기준과 유형 · 예방 행동수칙 · 신고 및 처리 행정업무운영 규정 · 기안문·시행문 작성 · 한 장 보고서 · 실습·첨삭 문제해결 프로세스 · 로직트리 · 이슈 분석 · 기획서 작성 실습 커뮤니케이션 기본 · 요청·피드백 화법 · 채널별 소통 · 협업 사례 대학회계 개요 · 예산 구조 · 지출·증빙 실무 · 결산 절차 예산 편성 · 집행·전용 · 이월·불용 · 집행률 점검 국가계약법 개요 · 계약 방법 · 나라장터 실습 · 검수·대가지급 임용·승진 · 복무 규정 · 인사기록카드 · 사례 Q&A","신청링크 https://hrd.pusan.ac.kr/course/PNU-2026-001 https://hrd.pusan.ac.kr/course/PNU-2026-002 https://hrd.pusan.ac.kr/course/PNU-2026-003 https://hrd.pusan.ac.kr/course/PNU-2026-004 https://hrd.pusan.ac.kr/course/PNU-2026-005 https://hrd.pusan.ac.kr/course/PNU-2026-006 https://hrd.pusan.ac.kr/course/PNU-2026-101 https://hrd.pusan.ac.kr/course/PNU-2026-102 https://hrd.pusan.ac.kr/course/PNU-2026-103 https://hrd.pusan.ac.kr/course/PNU-2026-201 https://hrd.pusan.ac.kr/course/PNU-2026-202 https://hrd.pusan.ac.kr/course/PNU-2026-203 https://hrd.pusan.ac.kr/course/PNU-2026-301","문의 인재개발원 051-510-1231 정보화본부 051-510-2001 인재개발원 051-510-1232 안전관리실 051-510-1119 감사실 051-510-1251 인재개발원 051-510-1233 인재개발원 051-510-1234 인재개발원 051-510-1234 인재개발원 051-510-1234 재무과 051-510-1261 재무과 051-510-1262 재무과 051-510-1263 총무과 051-510-1211"
"PNU-2026-302","근로·노무 관리 기초","인사·노무","관리자","선택","집합","6시간","25명","2026-07-13","2026-06-29~07-08","총무과","무기계약직·조교 등 근로자 노무관리의 기초","근로기준법 기본과 대학 내 다양한 고용형태(무기계약직·조교·근로장학생)의 노무 관리 쟁점을 다룹니다. 근로계약·근로시간·연차 등 실무 이슈를 사례로 학습합니다.","근로기준법 기본 이해 · 고용형태별 쟁점 파악 · 노무 리스크 예방","근로기준법 개요 · 근로계약 · 근로시간·휴가 · 노무 사례","https://hrd.pusan.ac.kr/course/PNU-2026-302","총무과 051-510-1212"
"PNU-2026-303","채용·면접관 교육","인사·노무","관리자","선택","집합","4시간","20명","2026-09-14","2026-08-31~09-09","총무과","공정채용 원칙과 구조화 면접 진행법","블라인드·공정채용 원칙과 구조화 면접 기법을 학습합니다. 채용 단계별 유의사항과 평가 편향 최소화 방법을 실습으로 익혀 공정한 선발을 지원합니다.","공정채용 원칙 이해 · 구조화 면접 설계 · 평가 편향 최소화","공정채용 법제 · 면접 유형 · 평가표 설계 · 모의 면접","https://hrd.pusan.ac.kr/course/PNU-2026-303","총무과 051-510-1213"
"PNU-2026-401","AI 마에스트로: 생성형 AI 실무 활용","정보화·AI·데이터","전 직원","권장","혼합","24시간(8주)","30명","","2026-05-25~06-12","정보화본부","업무에 바로 쓰는 ChatGPT·Claude 등 생성형 AI 실무 8주 심화과정","문서 작성·데이터 분석·업무 자동화·웹앱 제작까지 생성형 AI를 실제 행정 업무에 적용하는 심화 과정입니다. 매주 실습 과제와 자율 스터디로 진행하며, 결과물을 직접 만들어 배포합니다.","생성형 AI 도구 활용 · 데이터 분석·시각화 · 업무 자동화 설계","AI 기초·프롬프트 · 데이터 분석 · 문서·메일 자동화 · 웹앱 제작·배포","https://hrd.pusan.ac.kr/course/PNU-2026-401","정보화본부 051-510-2010"
"PNU-2026-402","엑셀 데이터 분석 실무","정보화·AI·데이터","실무자","권장","집합","8시간","30명","","2026-03-23~04-01","정보화본부","함수·피벗·조건부서식으로 업무 데이터를 빠르게 분석","실무 데이터를 대상으로 핵심 함수, 피벗테이블, 조건부서식, 기본 차트를 활용해 집계·분석하는 방법을 학습합니다. 예산·명단·현황 등 실제 파일로 실습합니다.","핵심 함수 활용 · 피벗테이블 집계 · 데이터 시각화 기초","데이터 정리 · 필수 함수 · 피벗테이블 · 조건부서식·차트","https://hrd.pusan.ac.kr/course/PNU-2026-402","정보화본부 051-510-2011"
"PNU-2026-403","데이터 시각화·대시보드 만들기","정보화·AI·데이터","실무자","선택","집합","8시간","25명","","2026-04-27~05-06","정보화본부","보기 좋은 현황판·대시보드로 데이터를 전달하는 법","업무 데이터를 한눈에 보이는 대시보드로 구성하는 원칙과 도구를 학습합니다. 차트 선택 기준, 색·레이아웃, 요약 지표 구성을 실습으로 익힙니다.","시각화 원칙 이해 · 적절한 차트 선택 · 대시보드 구성","시각화 기본 · 차트 선택 · 대시보드 레이아웃 · 실습","https://hrd.pusan.ac.kr/course/PNU-2026-403","정보화본부 051-510-2012"
"PNU-2026-404","정보보안 실무","정보화·AI·데이터","실무자","선택","온라인","4시간","무제한","","상시","정보화본부","업무 PC·계정·문서를 지키는 실무 보안 수칙","행정 업무 환경의 주요 보안 위협(피싱·랜섬웨어·계정 탈취)과 예방 수칙을 학습합니다. 안전한 문서 관리와 사고 발생 시 초기 대응 방법을 다룹니다.","보안 위협 인지 · 예방 수칙 실천 · 사고 초기대응","보안 위협 유형 · 계정·비밀번호 · 문서·매체 관리 · 사고 대응","https://hrd.pusan.ac.kr/course/PNU-2026-404","정보화본부 051-510-2013"
"PNU-2026-501","학사행정 실무","대학행정 특화","신규자","권장","집합","8시간","40명","","2026-02-23~03-04","교무과","수강신청·성적·학적 등 학사행정 전반의 첫걸음","학사 운영의 큰 흐름과 수강신청·성적처리·학적변동 등 핵심 업무를 신규 담당자 눈높이로 학습합니다. 학사 시스템 처리와 학사일정 연계를 사례로 익힙니다.","학사행정 흐름 이해 · 수강·성적·학적 처리 · 학사일정 연계","학사 운영 개요 · 수강신청 · 성적처리 · 학적변동","https://hrd.pusan.ac.kr/course/PNU-2026-501","교무과 051-510-1271"
"PNU-2026-502","등록·장학 실무","대학행정 특화","실무자","선택","집합","6시간","30명","2026-04-13","2026-03-30~04-08","학생지원과","등록금 고지·수납과 장학금 지급의 실무 처리","등록금 산정·고지·수납·환불 절차와 교내외 장학금 선발·지급 실무를 학습합니다. 시스템 처리와 민원 대응 사례를 함께 다룹니다.","등록 업무 흐름 이해 · 장학 선발·지급 · 관련 민원 대응","등록금 고지·수납 · 환불 · 장학 선발·지급 · 민원 사례","https://hrd.pusan.ac.kr/course/PNU-2026-502","학생지원과 051-510-1281"
"PNU-2026-503","입시·홍보 실무","대학행정 특화","실무자","선택","집합","6시간","25명","2026-08-24","2026-08-10~08-19","입학본부","입학전형 운영과 대학 홍보·콘텐츠 기획 기본","수시·정시 전형 운영의 기본 절차와 입학 관련 데이터 관리, 대학 홍보 채널·콘텐츠 기획을 학습합니다. 최근 입시 정책 변화와 홍보 트렌드를 함께 살핍니다.","입학전형 절차 이해 · 입시 데이터 관리 · 홍보 콘텐츠 기획","전형 운영 · 입시 데이터 · 홍보 채널 · 콘텐츠 기획","https://hrd.pusan.ac.kr/course/PNU-2026-503","입학본부 051-510-1291"
"PNU-2026-504","산학협력·연구비 관리","대학행정 특화","실무자","선택","집합","8시간","25명","","2026-05-11~05-20","산학협력단","국가연구개발 협약과 연구비 집행·정산 실무","국가연구개발혁신법 기준의 과제 협약, 연구비 집행 기준과 정산 실무를 학습합니다. 연구비 카드·인건비·직접비 처리와 정산 시 유의사항을 사례로 다룹니다.","R&D 협약 이해 · 연구비 집행 기준 적용 · 정산 오류 예방","국가R&D 개요 · 협약 · 연구비 집행 · 정산 실무","https://hrd.pusan.ac.kr/course/PNU-2026-504","산학협력단 051-510-1301"
"PNU-2026-505","국제·유학생 행정 실무","대학행정 특화","실무자","선택","집합","6시간","20명","2026-06-22","2026-06-08~06-17","국제처","유학생 비자·체류와 생활지원 행정의 기본","외국인 유학생의 사증(비자)·체류자격 변경, 표준입학허가서 발급, 생활·정착 지원 행정을 학습합니다. 출입국 규정과 유학생 관리시스템 처리를 다룹니다.","체류·비자 절차 이해 · 유학생 시스템 처리 · 생활지원 안내","출입국·체류 · 표준입학허가 · 유학생 관리 · 생활지원","https://hrd.pusan.ac.kr/course/PNU-2026-505","국제처 051-510-1311"
"PNU-2026-506","기록물관리·정보공개 실무","대학행정 특화","실무자","선택","집합","4시간","30명","2026-09-07","2026-08-24~09-02","총무과","공공기록물 관리와 정보공개 청구 대응 실무","「공공기록물관리법」에 따른 기록물 등록·분류·이관과 「정보공개법」에 따른 정보공개 청구 처리 절차를 학습합니다. 비공개 대상 판단과 부분공개 사례를 다룹니다.","기록물 관리 절차 이해 · 정보공개 청구 처리 · 공개여부 판단","기록물관리법 · 등록·분류·이관 · 정보공개 절차 · 사례","https://hrd.pusan.ac.kr/course/PNU-2026-506","총무과 051-510-1214"
"PNU-2026-601","민원응대·친절 CS","소통·CS·민원","전 직원","권장","집합","4시간","40명","2026-03-19","2026-03-05~03-14","인재개발원","감정노동에 지치지 않고 신뢰를 주는 민원 응대 스킬","학생·학부모·외부 민원을 응대하는 화법과 감정노동 대응, 악성 민원 대처 원칙을 학습합니다. 실제 상황 롤플레이로 응대 스킬을 체득합니다.","친절 응대 화법 습득 · 감정노동 관리 · 악성민원 대응","CS 기본 · 응대 화법 · 감정노동 관리 · 상황별 롤플레이","https://hrd.pusan.ac.kr/course/PNU-2026-601","인재개발원 051-510-1235"
"PNU-2026-602","갈등관리·조직소통","소통·CS·민원","실무자","선택","집합","6시간","25명","2026-10-19","2026-10-05~10-14","인재개발원","부서 내·부서 간 갈등을 건강하게 다루는 소통법","업무 과정에서 발생하는 갈등의 원인을 이해하고 조정·중재하는 방법을 학습합니다. 세대·부서 간 협업을 위한 소통 전략을 사례와 실습으로 익힙니다.","갈등 원인 이해 · 조정·중재 스킬 · 협업 소통 전략","갈등의 이해 · 감정 다루기 · 조정·중재 · 협업 사례","https://hrd.pusan.ac.kr/course/PNU-2026-602","인재개발원 051-510-1236"
